1766	53203
191	124514
183	86547
2989	458099
4239	271619
2702	277389
2050	179091
850	309858
6471	14375
4940	360339
281	112295
2173	345066
4087	419435
2447	14836
1848	235613
4251	409557
7000	302163
3530	298856
6651	331982
5418	288746
6768	203692
302	73302
5900	189545
496	445660
4191	125561
2146	211775
621	198711
591	102934
5245	299810
85	400414
1174	314039
6367	335579
92	94660
172	47694
276	401757
6144	115952
2396	273143
2333	150965
1179	186489
6721	116648
2668	175113
3184	121554
3698	369114
832	318369
912	175277
5546	73725
2536	425122
3367	122174
804	383777
5938	449951
1536	298744
517	119863
660	215380
6628	38041
68	175435
256	355154
2995	287612
1389	32973
688	86723
4766	143027
1152	336792
5350	46695
1934	40819
1512	305215
4248	463386
4394	384109
454	57354
71	389566
648	423853
2014	467119
872	63765
198	185724
6988	89054
2006	105329
1830	285847
4564	155018
2914	76439
1747	301080
3928	388397
3131	118225
4470	339748
338	231326
1941	49850
6820	394718
2271	119775
5	49020
5345	257771
500	77752
4464	167942
146	379379
3086	229864
5450	80710
4323	406367
1772	302344
5799	610
2294	76808
1851	444584
2000	442939
4413	466159
2186	442282
5679	57531
1784	77154
2993	82804
4182	47835
20	184362
342	441148
2076	243264
59	76725
1286	300600
4710	193822
479	412991
398	68048
218	425553
155	26204
4424	171490
1367	107003
840	195373
4597	417868
189	64608
1257	154764
6432	137181
2412	277907
986	407674
6560	154171
436	447457
3238	272211
4846	467779
579	332333
457	17816
4197	388025
2739	345585
1539	273771
906	309716
640	459151
4015	373868
1586	248429
1544	376362
4305	124116
343	391447
4521	364812
6087	225793
6216	244841
1102	273561
4275	191489
4851	374127
4471	364145
30	225971
1525	277822
6736	38221
5588	4604
4176	447612
164	27743
259	329400
32	455979
5315	360402
1394	395652
210	271810
4516	446172
1379	363677
4652	456705
3007	220349
5633	285999
408	204620
6349	395426
1703	52101
1543	209626
4727	303148
1917	430592
5924	345235
148	93663
5343	131780
797	273708
4237	190902
4252	101416
1829	250603
1041	206301
1766	128283
162	273267
3264	413539
1962	411374
4128	319300
3038	451480
4227	258883
2937	411531
865	347439
4083	10579
5313	295336
357	177423
1610	334057
2978	399460
6767	326056
4	337793
6017	430929
1413	184213
1540	150684
169	262644
1857	256538
2785	138451
3624	374424
253	87248
879	347364
2723	380680
3976	242137
4483	399558
6263	206348
2260	50990
5933	335081
78	376793
5559	350782
3369	371126
3767	110285
803	11463
4325	384184
93	375399
5109	89335
825	311078
6302	97662
3236	110207
2282	65900
4347	69129
2974	69461
1371	394244
3361	50659
5040	447031
78	324476
6994	174908
1804	55049
1936	229300
318	220509
605	338931
1201	363017
1105	25571
3376	349783
12	357687
5556	85740
3115	148085
401	145386
85	281295
6718	416076
1944	369480
478	395835
1136	394270
63	386469
4391	142418
1127	83965
6683	402476
1948	211820
6603	140227
143	91646
3615	257788
5433	1652
1984	127551
3559	239961
5431	40049
5616	45186
6790	373335
65	230568
440	114990
1499	279335
3827	383271
4358	100403
7040	82453
1516	149643
1565	362439
10	348889
6124	113237
4785	165470
53	364040
375	161776
3035	429696
1852	385775
242	185652
3597	41287
437	425315
3378	422671
4254	260220
5872	345541
3504	2970
116	174497
5462	438668
1619	433020
61	273517
2499	352382
2967	374774
2682	26354
4913	236231
6119	448198
1847	39820
3125	409249
2800	222008
305	49558
5314	235397
6903	212865
6039	85521
3957	347832
4627	182004
1890	427588
5611	416622
2576	321265
3556	218919
2623	54803
1445	407947
6828	12508
642	257522
983	423796
1901	445565
4713	225720
1122	428363
16	23630
225	302131
3394	252609
6130	206497
1673	52044
1301	259070
4830	419030
2694	250779
93	346179
3751	144236
3754	429761
5834	222380
2546	361096
5648	251120
4408	212649
1050	69527
5519	34353
41	87139
1302	345611
2400	238244
469	279205
1519	278911
2994	153292
3340	318871
825	91864
5440	159390
34	318611
867	329662
5009	35983
3593	408166
1286	159772
1190	249411
292	103772
1615	393267
3407	176673
2759	210268
53	163969
3650	132389
407	302932
4815	283535
1243	384635
