103	1790	3	11.17
362	104	5	7.56
711	120	4	19.21
9	5618	3	33.56
115	1744	5	34.24
107	6574	3	26.69
1460	108	4	20.14
154	1	3	5.23
321	118	9	39.58
141	1362	4	34.66
133	197	3	8.73
3146	21	3	15.07
248	188	3	16.11
135	973	3	20.6
106	280	4	5.19
106	331	4	6.41
4822	21	4	31.02
101	2506	5	21.31
778	12	8	15.13
128	1850	3	23.83
104	299	5	5.73
106	119	51	63.81
116	3448	3	21.43
2026	883	4	59.27
442	12	9	10.04
1161	14	4	8.08
175	14	23	23.84
101	755	6	11.17
258	122	3	7.36
1767	12	7	25.45
101	6825	3	18.98
275	431	3	24.2
127	297	7	38.49
269	325	9	86
1059	199	3	26.54
101	2535	3	8.83
114	217	21	93.23
159	772	9	89.22
217	111	28	132.65
1265	101	4	8.35
493	179	10	95.44
2478	116	3	19.19
116	1104	3	13.69
5158	103	3	19.29
1890	101	3	7.37
120	1129	4	23.3
140	141	4	10.59
12	899	5	6.64
103	1835	4	17.52
114	1422	5	30.07
105	3590	3	16.37
111	2137	5	34.22
4381	1823	5	100.09
21	546	4	7.05
257	3420	3	37.59
591	107	6	22.36
411	12	8	6.46
2947	14	3	9.93
111	1075	3	11.63
255	361	3	21.97
1628	107	6	36.89
111	865	3	10.47
101	1953	9	50.53
154	113	37	156.4
102	782	8	31.54
310	133	3	12.51
979	14	4	6.86
561	12	36	202.56
345	146	5	31.06
1476	3622	5	97.93
113	296	30	181.77
101	1696	4	10.72
111	610	6	25.03
2776	12	3	7.81
612	1191	4	51.06
714	108	3	8.76
5799	118	3	30.93
359	116	4	10.89
940	4614	3	50.49
12	643	13	32.25
468	690	3	31.11
109	286	5	10.4
2271	101	4	13.37
1053	21	7	29.78
117	1316	10	81.69
12	2129	5	16.25
1300	102	3	9.06
110	1171	3	12.27
106	539	8	32.39
259	856	3	27.91
104	4934	3	19.6
1279	14	5	12.97
103	2404	3	13.36
710	12	5	4.43
101	860	5	9.11
108	1119	5	24.86
103	249	7	8.95
2994	104	3	14.65
4575	12	3	12.5
3754	2726	5	106.87
2285	115	5	37
605	105	4	9.38
104	1082	4	13.53
2377	1713	3	48.74
134	1611	3	24.19
4212	21	3	16.62
1472	111	3	14.05
107	3328	5	39.1
107	3388	3	18.44
115	3048	3	20.08
773	106	6	24.64
332	114	4	9.26
12	5111	3	12.5
122	109	31	41.65
110	915	14	101.34
320	116	3	5.81
200	231	3	15.93
2	1218	4	19.26
101	4143	3	12.42
12	131	309	1391.63
1178	104	3	8.73
229	2272	6	78.09
108	562	4	12.23
473	125	3	14.6
2610	102	4	20.53
3311	12	4	15.11
4735	104	3	19.6
222	107	11	27.61
1197	12	7	17.57
6430	14	3	19.15
103	1190	8	40.19
108	155	9	11.97
123	161	3	4.16
239	108	5	7.71
103	4144	5	39.59
196	114	4	4.06
7190	21	3	23.26
5438	101	3	14.57
112	342	15	72.42
105	382	4	5.82
165	114	6	7.48
101	167	15	5.56
1147	3656	5	94.65
5329	106	3	21.88
187	123	37	246.28
200	1204	4	39.01
4216	14	4	20.62
131	155	3	6.45
2502	14	3	8.99
12	1291	8	25.13
815	122	3	14.72
136	2619	4	39.42
257	356	3	21.94
101	1242	9	35.62
1024	152	3	23.67
1773	101	3	6.78
7315	21	3	23.26
128	175	3	7.16
12	146	48	48.74
1485	1033	3	41.6
521	963	3	33.84
1919	12	8	35.24
103	120	569	3328.16
104	1031	6	24.91
104	7163	3	24.06
1401	101	7	25.49
8	7016	3	33.19
298	109	4	6.96
2218	124	4	32.97
101	427	13	29.77
231	121	5	15
110	1867	3	15.76
1097	103	3	8.11
1171	2512	3	45.79
117	5294	3	25.71
1776	106	3	13.66
548	21	35	262.61
119	176	16	60.93
2	203	9	19.89
101	3042	3	9.77
2	151	6	4.68
211	1331	5	54.18
1494	1476	13	274.81
104	778	5	15.42
152	117	9	18.37
430	14	8	11.47
922	107	4	15.15
1101	12	5	8.46
825	14	5	8.58
711	773	3	34.09
150	1077	3	23.71
123	117	13	11.25
334	3186	3	39.4
101	1393	3	5.38
102	215	18	44.49
105	1174	5	20.78
338	132	3	13.31
111	486	4	11.7
239	116	3	3.9
107	2234	5	32.21
7469	21	3	23.26
824	106	6	25.64
577	21	35	271.71
109	1258	5	26.68
211	1074	3	27.36
104	1465	8	45.28
124	536	4	20.18
474	109	4	11.4
110	198	6	8.55
738	107	9	45.37
1861	107	5	29.47
1713	12	3	4.97
104	3909	3	17.41
376	107	6	16.42
865	14	4	5.88
4086	14	3	12.59
3097	14	4	18.07
16	275	3	7.95
130	347	8	51.37
130	499	4	23.65
258	164	4	22.64
435	483	3	28.59
481	12	8	8.31
241	158	4	21.03
121	761	4	21.15
2373	21	3	12.89
